war_id,matchid,name,champion,role,grade,date,Note
1,NA1_4179591802,Adarooski,Jinx,Bottom,S-,01/16/2022,
2,NA1_4180281134,Rando,Diana,Jungle,S+,01/16/2022,
3,NA1_4180281134,Rando,Urgot,Top,S-,01/16/2022,
4,NA1_4180281134,Adarooski,Jinx,Bottom,C,01/16/2022,
5,NA1_4180514910,TheFailCake,Cho'Gath,Mid,S,01/16/2022,
6,NA1_4180514910,Devilblue755,Janna,Support,C-,01/16/2022,
7,NA1_4180514910,Vincenz,Miss Fortune,Bottom,A,01/16/2022,
8,NA1_4180543303,Vincenz,Mordekaiser,Top,S+,01/16/2022,
9,NA1_4180543303,Adarooski,Kai'Sa,Bottom,A+,01/16/2022,
10,NA1_4180543303,JohnnBlaze88,Vi,Jungle,S-,01/16/2022,
11,NA1_4180671994,Adarooski,Janna,Support,B,01/16/2022,
12,NA1_4180671994,Rando,Nidalee,Jungle,S,01/16/2022,
13,NA1_4180832792,Adarooski,Jinx,Bottom,B,01/16/2022,Clash
14,NA1_4181107000,Adarooski,Jinx,Bottom,C,01/16/2022,
15,NA1_4181482488,TheFailCake,Pyke,Support,A,01/17/2022,
16,NA1_4181702043,TheFailCake,Pyke,Support,S,01/17/2022,
17,NA1_4181697516,TheFailCake,Pyke,Support,B+,01/17/2022,
18,NA1_4181697516,Rando,Katarina,Middle,S,01/17/2022,
19,NA1_4181697516,Rando,Kalista,Bottom,S,01/17/2022,
20,NA1_4181756857,TheFailCake,Cho'Gath,Top,B,01/17/2022,
21,NA1_4181784579,Daddy Butter,Kha'zix,Jungle,A,01/17/2022,Verbally reported
22,NA1_4182023870,Daddy Butter,Katarina,Middle,A-,01/17/2022,
23,NA1_4182023870,Adarooski,Kai'sa,Bottom,A-,01/17/2022,
24,NA1_4181916012,Hickiller,Evelyn,Jungle,A-,01/17/2022,Addy Reported
25,NA1_4181911377,Adarooski,Jinx,Bottom,A-,01/17/2022,
26,NA1_4181911377,Daddy Butter,Katarina,Middle,A,01/17/2022,
27,NA1_4182010267,BlackSanta10,Brand,Middle,B+,01/17/2022,
28,NA1_4181818693,Daddy Butter,Kha'zix,Jungle,A+,01/17/2022,
29,NA1_4182046821,BlackSanta10,Brand,Middle,S-,01/17/2022,
30,NA1_4182983314,TheFailCake,Pyke,Support,S+,01/18/2022,
31,NA1_4182983314,tugno,Rammus,Jungle,S+,01/18/2022,
32,NA1_4182983314,Crestfallennight,Lissandra,Middle,S+,01/18/2022,
33,NA1_4182983314,Ezreal Mechanics,Caitlyn,Bottom,S+,01/18/2022,
34,NA1_4182921871,TheFailCake,Pyke,Support,S-,01/18/2022,
35,NA1_4182909891,TheFailCake,Pyke,Support,A,01/18/2022,
36,NA1_4182857174,TheFailCake,Brand,Support,C,01/18/2022,
37,NA1_4182863077,TheFailCake,Pyke,Support,B-,01/18/2022,
38,NA1_4183410571,Vincenz,Yorick,Top,S-,01/18/2022,
39,NA1_4183658774,Adarooski,Kai'sa,Bottom,B,01/18/2022,
40,NA1_4183630313,Adarooski,Kai'sa,Bottom,A+,01/18/2022,
41,NA1_4184099580,TheFailCake,Pyke,Support,S,01/19/2022,
42,NA1_4184099580,Big Katz,Trundle,Jungle,S,01/19/2022,
43,NA1_4184099580,TheBiggestBidoof,Zed,Middle,S+,01/19/2022,
44,NA1_4184099580,ThisWayOrThatWay,Jinx,Bottom,S,01/19/2022,
45,NA1_4184066734,TheFailCake,Pyke,Support,S-,01/19/2022,
46,NA1_4184066734,Berflana,Master Yi,Jungle,S-,01/19/2022,
47,NA1_4184011223,TheFailCake,Pyke,Support,S-,01/19/2022,
48,NA1_4183946482,TheFailCake,Pyke,Support,S,01/19/2022,
49,NA1_4183946482,Jazmine1,Ashe,Bottom,S+,01/19/2022,
50,NA1_4183946482,Zaboutine,Sylas,Middle,S+,01/19/2022,
51,NA1_4183961526,TheFailCake,Pyke,Support,B,01/19/2022,
52,NA1_4184518085,Daddy Butter,Katarina,Mid,B+,01/19/2022,
53,NA1_4184518085,Black Santa 10,Brand,Support,C+,01/19/2022,
54,NA1_4184828869,JohnnBlaze88,Hecarim,Jungle,S,01/19/2022,
55,NA1_4185281702,TheFailCake,Pyke,Support,S,01/20/2022,
56,NA1_4185281702,Rando,Aurelion Sol,Mid,S,01/20/2022,
57,NA1_4185281702,Rando,Jinx,Bottom,S-,01/20/2022,
58,NA1_4185650584,TheFailCake,Pyke,Support,A-,01/20/2022,
59,NA1_4185634232,TheFailCake,Pyke,Support,A,01/20/2022,
60,NA1_4185693780,TheFailCake,Pyke,Support,S,01/20/2022,
61,NA1_4185770476,TheFailCake,Pyke,Support,A,01/20/2022,
62,NA1_4185770476,Rando,Jinx,Bottom,S-,01/20/2022,
63,NA1_4185770476,Rando,Talon,Jungle,S-,01/20/2022,
64,NA1_4185770476,Rando,Malzahar,Middle,S-,01/20/2022,
65,NA1_4185805214,TheFailCake,,Lux,A+,01/20/2022,
66,NA1_4185805214,Rando,Garen,Top,S,01/20/2022,
67,NA1_4185719821,Black Santa 10,Janna,Support,B-,01/20/2022,
68,NA1_4185868613,Black Santa 10,Brand,Support,A-,01/20/2022,
69,NA1_4186059576,Black Santa 10,Tryndamere,Top,C,01/20/2022,
70,NA1_4186059576,Rando,Vex,Mid,S-,01/20/2022,
71,NA1_4186059576,Rando,Miss Fortune,Bottom,S-,01/20/2022,
72,NA1_4186059576,Rando,Pyke,Support,S-,01/20/2022,
73,NA1_4186111437,Daddy Butter,Katarina,Middle,S,01/20/2022,
74,NA1_4186111437,Rando,Trundle,Jungle,S,01/20/2022,
75,NA1_4186138536,Daddy Butter,Katarina,Middle,A,01/20/2022,
76,NA1_4186224380,MrCorton,Syndra,Middle,A+,01/20/2022,
77,NA1_4186277345,Black Santa 10,Brand,Support,S,01/20/2022,
78,NA1_4186277345,Rando,Jhin,Bottom,S-,01/20/2022,
79,NA1_4186365538,Adarooski,Kai'Sa,Bottom,S-,01/20/2022,
80,NA1_4186365538,Rando,Leona,Support,S,01/20/2022,
81,NA1_4186415252,Rando,Vi,Jungle,S+,01/20/2022,
82,NA1_4186415252,Adarooski,Karthus,Bottom,C+,01/20/2022,
83,NA1_4186416887,JohnnBlaze88,Vi,Jungle,A,01/20/2022,
